Pumppu,Vesi,Ulko,Tuotto,Input,COP,Huomautus
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,75 °C,12,16.78,7.36,2.28,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,25 °C,15,19.97,2.99,6.68,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,30 °C,15,19.29,3.19,6.05,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,35 °C,15,18.6,3.43,5.42,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,40 °C,15,18.5,3.86,4.79,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,45 °C,15,18.4,4.42,4.16,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,50 °C,15,18.12,4.72,3.84,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,55 °C,15,17.92,5.32,3.37,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,60 °C,15,17.76,5.48,3.24,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,65 °C,15,17.6,6.42,2.74,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,70 °C,15,17.4,7.02,2.48,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,75 °C,15,17,7.11,2.39,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,25 °C,20,20.4,2.66,7.67,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,30 °C,20,19.77,2.93,6.75,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,35 °C,20,19.14,3.28,5.84,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,40 °C,20,18.98,3.73,5.09,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,45 °C,20,18.81,4.34,4.33,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,50 °C,20,18.61,4.58,4.06,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,55 °C,20,18.4,4.96,3.71,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,60 °C,20,18.21,5.26,3.46,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,65 °C,20,18.05,6.22,2.9,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,70 °C,20,17.75,6.83,2.6,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,75 °C,20,17.42,7.05,2.47,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,25 °C,25,20.83,2.42,8.61,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,30 °C,25,20.26,2.69,7.53,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,35 °C,25,19.68,3.06,6.43,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,40 °C,25,19.45,3.42,5.69,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,45 °C,25,19.22,3.88,4.95,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,50 °C,25,19.1,4.28,4.46,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,55 °C,25,19.05,4.8,3.97,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,60 °C,25,18.8,5.11,3.68,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,65 °C,25,18.6,5.81,3.2,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,70 °C,25,18.3,6.35,2.88,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,75 °C,25,17.9,6.68,2.68,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,25 °C,35,23.56,2.19,10.76,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,30 °C,35,22.95,2.49,9.21,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,35 °C,35,22.33,2.9,7.7,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,40 °C,35,21.83,3.3,6.62,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,45 °C,35,21.33,3.86,5.53,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,50 °C,35,21.16,4.15,5.1,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,55 °C,35,20.75,4.62,4.49,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,60 °C,35,20.43,4.84,4.22,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,65 °C,35,20.26,5.35,3.79,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,70 °C,35,19.96,5.87,3.4,Arvot PEAK taulukosta
Samsung R290 16 kW mono AE160CXYBGK/EU 3-v,75 °C,35,19.59,6.22,3.15,Arvot PEAK taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",25 °C,-25,4.45,1.98,2.25,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",30 °C,-25,4,2.04,1.96,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",35 °C,-25,3.59,2.19,1.64,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",40 °C,-25,3.34,2.15,1.55,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",45 °C,-25,2.81,2.17,1.3,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",25 °C,-20,5.68,2.03,2.8,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",30 °C,-20,5.09,2.15,2.37,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",35 °C,-20,4.74,2.24,2.11,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",40 °C,-20,4.32,2.44,1.77,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",45 °C,-20,3.7,2.29,1.61,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",50 °C,-20,3.17,2.26,1.41,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",55 °C,-20,2.62,2.1,1.25,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",58 °C,-20,2.28,1.98,1.15,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",25 °C,-15,6.9,2.07,3.34,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",30 °C,-15,6.44,2.24,2.87,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",35 °C,-15,6.11,2.51,2.43,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",40 °C,-15,5.57,2.47,2.26,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",45 °C,-15,5.29,2.65,2,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",50 °C,-15,4.67,2.7,1.73,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",55 °C,-15,4.94,2.92,1.69,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",58 °C,-15,4.37,2.87,1.52,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",60 °C,-15,3.99,2.84,1.41,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",25 °C,-10,7.45,2.02,3.68,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",30 °C,-10,7.28,2.18,3.33,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",35 °C,-10,7.08,2.25,3.15,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",40 °C,-10,6.87,2.63,2.62,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",45 °C,-10,6.77,2.74,2.47,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",50 °C,-10,6.32,2.88,2.2,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",55 °C,-10,6.07,3.05,1.99,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",58 °C,-10,5.54,2.94,1.88,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",60 °C,-10,5.19,2.86,1.81,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",25 °C,-7,7.64,2.03,3.76,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",30 °C,-7,7.47,2.2,3.4,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",35 °C,-7,7.27,2.29,3.17,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",40 °C,-7,7.05,2.64,2.67,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",45 °C,-7,6.94,2.76,2.52,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",50 °C,-7,6.48,2.89,2.24,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",55 °C,-7,6.22,3.07,2.03,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",58 °C,-7,5.68,2.96,1.92,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",60 °C,-7,5.32,2.88,1.85,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",25 °C,-5,8.05,2,4.02,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",30 °C,-5,7.97,2.16,3.69,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",35 °C,-5,7.69,2.39,3.22,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",40 °C,-5,7.45,2.57,2.9,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",45 °C,-5,7.44,2.77,2.69,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",50 °C,-5,7.35,2.99,2.46,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",55 °C,-5,6.45,2.94,2.19,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",58 °C,-5,6.2,2.97,2.09,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",60 °C,-5,6.04,3,2.02,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",25 °C,-2,5.03,1.18,4.25,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",30 °C,-2,4.94,1.27,3.89,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",35 °C,-2,4.96,1.39,3.57,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",40 °C,-2,5.61,1.82,3.08,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",45 °C,-2,5.67,2.04,2.78,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",50 °C,-2,5.68,2.24,2.54,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",55 °C,-2,5.28,2.35,2.24,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",58 °C,-2,5.18,2.44,2.12,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",60 °C,-2,5.11,2.51,2.04,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",25 °C,0,8.55,1.79,4.77,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",30 °C,0,8.49,2.01,4.23,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",35 °C,0,8.42,2.23,3.77,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",40 °C,0,8.4,2.53,3.32,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",45 °C,0,8.09,2.75,2.94,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",50 °C,0,8.11,2.95,2.75,Arvot MAX taulukosta
"Midea 08 kW mono/split MHC-V8W/D2N8, MHA-V8W/D2N8-B 1/3-v",55 °C,0,7.1,2.99,2.38,Arvot MAX taulukosta
